Time,U1E,U2E,U3E,U0E,U12,U23,U31,U12H2,U23H2,U31H2,U12H4,U23H4,U31H4,U12H6,U23H6,U31H6,U12H8
5/25/2018 14:29,241369,241303,240498,3580.99,416803,417109,418516,0.00717144,0.00884521,0.00944086,0.00662748,0.00886517,0.00823948,0.00758532,0.00745843,0.00828206,0.0190678
5/25/2018 14:39,241720,241605,240823,3583.92,417372,417636,419115,0.00970402,0.0101645,0.0110558,0.00720894,0.00915464,0.00793987,0.00628668,0.00695921,0.00892574,0.0130911
5/25/2018 14:49,241694,241643,240776,3593.85,417400,417623,419038,0.0095623,0.0106073,0.0110944,0.00674387,0.00847952,0.00720218,0.00573122,0.00662967,0.00894498,0.0144838
5/25/2018 14:59,241766,241813,240903,3613.03,417604,417881,419214,0.0102754,0.0108912,0.0112814,0.00704468,0.00909803,0.00758222,0.00710491,0.00581546,0.00868858,0.0127177
5/25/2018 15:09,241829,241897,240961,3611.65,417742,418009,419304,0.0106047,0.0110449,0.012006,0.00705453,0.00945713,0.00883708,0.00597175,0.00659566,0.00902795,0.0131533
5/25/2018 15:19,241944,241979,241050,3616.46,417919,418144,419486,0.00779584,0.00858469,0.00918597,0.00626576,0.00878999,0.00936105,0.00630554,0.00596103,0.00699994,0.0156686
5/25/2018 15:29,241833,241796,240886,3609.11,417685,417818,419254,0.00832923,0.00955356,0.0103229,0.00641393,0.00895279,0.00772296,0.00666546,0.00557692,0.00784701,0.0103636
5/25/2018 15:39,242054,242049,241122,3625.45,418087,418240,419658,0.00972249,0.00963951,0.010063,0.00708834,0.00787809,0.00775303,0.00673021,0.00572061,0.00713865,0.0144828
5/25/2018 15:49,241859,241949,240944,3629.74,417850,417992,419324,0.00814492,0.00941742,0.00950483,0.00748426,0.0101686,0.0098671,0.00630823,0.00613949,0.00793622,0.0125552
5/25/2018 15:59,241705,241894,240799,3632.15,417681,417833,419038,0.00953686,0.011138,0.011045,0.00744341,0.0083312,0.00879307,0.00562604,0.00872352,0.00915334,0.0130963
5/25/2018 16:09,240842,241017,239872,3627.64,416220,416249,417465,0.00830575,0.00976061,0.00971958,0.00929676,0.0109646,0.0101674,0.00574165,0.00518832,0.00645461,0.016165
5/25/2018 16:19,240899,241081,239943,3628.39,416326,416354,417587,0.00979879,0.0106591,0.010834,0.00797316,0.00972661,0.0089927,0.00698039,0.00603628,0.00684848,0.0110875
5/25/2018 16:29,240844,240997,239845,3632.32,416215,416199,417442,0.00957916,0.0103795,0.0103319,0.00701334,0.00878298,0.00867893,0.00565828,0.00602605,0.00716419,0.0131197
5/25/2018 16:39,240950,241080,239926,3641.13,416381,416335,417607,0.00731242,0.00893238,0.00849939,0.00646461,0.00846999,0.007561,0.00459768,0.00556346,0.00649209,0.0118834
5/25/2018 16:49,241252,241320,240218,3648.44,416844,416780,418143,0.00821382,0.00944333,0.00972848,0.00968219,0.0116217,0.0108404,0.00580177,0.00559963,0.00750596,0.0115471
5/25/2018 16:59,241456,241460,240366,3656.26,417159,417013,418447,0.00824953,0.0107199,0.00971737,0.00773989,0.00957493,0.00925773,0.00564452,0.00637804,0.00612319,0.0121925
5/25/2018 17:09,241695,241681,240610,3661.26,417558,417410,418868,0.00751289,0.00944148,0.00896781,0.00669043,0.00838605,0.00855764,0.00513505,0.00548095,0.00653037,0.0111139
5/25/2018 17:19,241964,241940,240857,3671.88,418025,417846,419308,0.00948719,0.0104987,0.00972087,0.00666912,0.00827534,0.00858858,0.00568353,0.00627355,0.00631303,0.013961
5/25/2018 17:29,241969,241928,240824,3679.36,418034,417794,419283,0.00863298,0.0100375,0.00917999,0.00725174,0.00847568,0.00986414,0.00583937,0.00565714,0.00618774,0.0144482
5/25/2018 17:39,242614,242543,241462,3692.12,419120,418864,420411,0.00864881,0.00989127,0.0080069,0.00719561,0.00910605,0.0102477,0.0067418,0.00649277,0.00719713,0.0104303
5/25/2018 17:49,242156,241999,240933,3687.82,418271,417923,419551,0.00859034,0.0107072,0.0100222,0.0067859,0.00762685,0.00957926,0.0065541,0.00686564,0.00772764,0.0116353
5/25/2018 17:59,242420,242320,241212,3707.73,418774,418445,420018,0.00714707,0.00941157,0.00895021,0.00490257,0.00695937,0.0075268,0.00598251,0.00597716,0.00740607,0.0119551
5/25/2018 18:09,242627,242767,241583,3721.15,419312,419188,420513,0.0107244,0.011447,0.00925134,0.0115417,0.00841792,0.0116275,0.00935409,0.0078156,0.0131754,0.0244932
5/25/2018 18:19,242283,242391,241267,3722.22,418684,418586,419947,0.00681596,0.0092064,0.00845125,0.00760159,0.00815198,0.00840863,0.00667682,0.00597499,0.00589763,0.010231
5/25/2018 18:29,241882,241936,240796,3731.57,417976,417755,419189,0.009278,0.0123047,0.0111756,0.0078785,0.00835679,0.00634356,0.00794062,0.0080594,0.00775054,0.0112391
5/25/2018 18:39,241713,241683,240588,3734.75,417634,417321,418874,0.0087068,0.00986782,0.00868037,0.00567061,0.00674746,0.00679016,0.00746826,0.00696936,0.00604772,0.010647
5/25/2018 18:49,241690,241630,240528,3750.89,417576,417212,418804,0.0102437,0.0111736,0.00975024,0.00655965,0.00695293,0.0071783,0.00746236,0.00623292,0.00605276,0.0114114
5/25/2018 18:59,241742,241614,240551,3750.85,417619,417200,418874,0.00934629,0.0113246,0.00971639,0.00727846,0.00871409,0.00823252,0.00724263,0.00681306,0.00595036,0.0100915
5/25/2018 19:09,241832,241977,240814,3727.2,417983,417786,419168,0.00578175,0.0091559,0.006872,0.00628961,0.00796425,0.0079767,0.00667636,0.00545504,0.00558401,0.0111424
5/25/2018 19:19,241961,242090,240956,3727.52,418191,418008,419402,0.00674888,0.00916773,0.00779177,0.00573277,0.00675417,0.00681167,0.0065647,0.00515611,0.00492815,0.00967567
5/25/2018 19:29,241918,241993,240847,3744.91,418081,417813,419272,0.0101493,0.0119254,0.0103312,0.00603954,0.0069761,0.00707844,0.00678123,0.0066311,0.00587575,0.0113423
5/25/2018 19:39,242011,242040,240906,3743.94,418216,417894,419404,0.00913885,0.0111657,0.00918557,0.00745993,0.00742524,0.00777594,0.00686127,0.00625726,0.00663726,0.0138576
5/25/2018 19:49,242559,242527,241425,3755.2,419095,418774,420335,0.0105449,0.0118023,0.00993533,0.00913758,0.00983869,0.0118614,0.0071248,0.00573061,0.00726516,0.011896
